Item_Identifier,Item_Weight,Item_Visibility,Item_Type,Item_MRP,Outlet_Establishment_Year,Item_Outlet_Sales,source,Item_Visibility_MeanRatio,Outlet_Lifetime,Outlet_Identifier,Item_Fat_Content_Regular,Item_Fat_Content_bad,Item_Type_Extracted_FD,Item_Type_Extracted_NC,Outlet_Size_Medium,Outlet_Size_Small,Outlet_Location_Type_Tier 2,Outlet_Location_Type_Tier 3,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3,Outlet_Identifier_OUT013,Outlet_Identifier_OUT017,Outlet_Identifier_OUT018,Outlet_Identifier_OUT019,Outlet_Identifier_OUT027,Outlet_Identifier_OUT035,Outlet_Identifier_OUT045,Outlet_Identifier_OUT046,Outlet_Identifier_OUT049
FDA15,9.3,0.016047301,Dairy,249.8092,1999,3735.138,train,0.9310779543761085,26,OUT049,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
DRC01,5.92,0.019278216,Soft Drinks,48.2692,2009,443.4228,train,0.9334195208758377,16,OUT018,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
FDN15,17.5,0.016760075,Meat,141.618,1999,2097.27,train,0.8727897762771314,26,OUT049,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDX07,19.2,0.01783433788888889,Fruits and Vegetables,182.095,1998,732.38,train,0.8181818181818181,27,OUT010,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NCD19,8.93,0.009779828555555556,Household,53.8614,1987,994.7052,train,0.75,38,OUT013,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
FDP36,10.395,0.057058688875,Baking Goods,51.4008,2009,556.6088,train,0.7272727272727273,16,OUT018,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
FDO10,13.65,0.012741089,Snack Foods,57.6588,1987,343.5528,train,1.069426769751245,38,OUT013,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
FDP10,19.0,0.127469857,Snack Foods,107.7622,1985,4022.7636,train,0.8704928816397633,40,OUT027,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
FDH17,16.2,0.016687114,Frozen Foods,96.9726,2002,1076.5986,train,0.9241603619293527,23,OUT045,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
FDU28,19.2,0.09444959,Frozen Foods,187.8214,2007,4710.535,train,0.8763482180275006,18,OUT017,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
FDY07,11.8,0.040626524444444444,Fruits and Vegetables,45.5402,1999,1516.0266,train,0.6,26,OUT049,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDA03,18.5,0.045463773,Dairy,144.1102,1997,2187.153,train,0.933025686442574,28,OUT046,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDX32,15.1,0.1000135,Fruits and Vegetables,145.4786,1999,1589.2646,train,0.9330543755673081,26,OUT049,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDS46,17.6,0.047257328,Snack Foods,119.6782,1997,2145.2076,train,0.922289906298101,28,OUT046,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDF32,16.35,0.0680243,Fruits and Vegetables,196.4426,1987,1977.426,train,0.9583620262153766,38,OUT013,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
FDP49,9.0,0.069088961,Breakfast,56.3614,1997,1547.3192,train,0.9252652611972232,28,OUT046,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
NCB42,11.8,0.008596051,Health and Hygiene,115.3492,2009,1621.8888,train,1.0031395479206202,16,OUT018,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
FDP49,9.0,0.069196376,Breakfast,54.3614,1999,718.3982,train,0.9267038031378307,26,OUT049,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
DRI11,8.26,0.034237682,Hard Drinks,113.2834,1985,2303.668,train,0.8704928693111866,40,OUT027,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
FDU02,13.35,0.10249212,Dairy,230.5352,2004,2748.4224,train,0.922115518306462,21,OUT035,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
FDN22,18.85,0.138190277,Snack Foods,250.8724,1987,3775.086,train,1.0132484392100192,38,OUT013,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
FDW12,8.315,0.035399923,Baking Goods,144.5444,1985,4064.0432,train,0.867553707380034,40,OUT027,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
NCB30,14.6,0.025698134,Household,196.5084,2004,1587.2672,train,0.8628943947372767,21,OUT035,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
FDC37,15.5,0.057556998,Baking Goods,107.6938,1985,214.3876,train,1.5315371875133976,40,OUT019,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FDR28,13.85,0.025896485,Frozen Foods,165.021,1997,4078.025,train,0.9296326154440038,28,OUT046,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
NCD06,13.0,0.099887103,Household,45.906,2007,838.908,train,0.9275067672165533,18,OUT017,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
FDV10,7.645,0.066693437,Snack Foods,42.3112,2004,1065.28,train,0.8835292524522668,21,OUT035,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
DRJ59,11.65,0.019356132,Hard Drinks,39.1164,1987,308.9312,train,0.9317498202269066,38,OUT013,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
FDE51,5.925,0.161466534,Dairy,45.5086,1998,178.4344,train,1.4445814400022103,27,OUT010,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FDC14,14.5,0.072221801,Canned,43.6454,1985,125.8362,train,1.5263660738938303,40,OUT019,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FDV38,19.25,0.170348551,Dairy,55.7956,1998,163.7868,train,1.4641166675359907,27,OUT010,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NCS17,18.6,0.080829372,Health and Hygiene,96.4436,2009,2741.7644,train,1.0031395405819457,16,OUT018,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
FDP33,18.7,0.0930934742,Snack Foods,256.6672,2009,3068.0064,train,0.9090909090909091,16,OUT018,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
FDO23,17.85,0.14246229066666669,Breads,93.1436,2002,2174.5028,train,0.9,23,OUT045,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
DRH01,17.5,0.097904029,Soft Drinks,174.8738,1997,2085.2856,train,0.9222899199987085,28,OUT046,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
NCX29,10.0,0.089291137,Health and Hygiene,146.7102,1999,3791.0652,train,0.8760887635003262,26,OUT049,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDV20,20.2,0.059511812,Fruits and Vegetables,128.0678,1985,2797.6916,train,0.8676854210699223,40,OUT027,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
DRZ11,8.85,0.113123893,Soft Drinks,122.5388,2009,1609.9044,train,1.0031395349101433,16,OUT018,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
FDX10,6.385,0.123111453,Snack Foods,36.9874,1985,388.1614,train,0.9205197684191376,40,OUT027,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
FDB34,15.25,0.026480954,Snack Foods,87.6198,1985,2180.495,train,0.9251308290764402,40,OUT027,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
FDU02,13.35,0.102511504,Dairy,230.6352,1997,3435.528,train,0.9222899150035627,28,OUT046,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDK43,9.8,0.02681843,Meat,126.002,1987,2150.534,train,0.9215224160526706,38,OUT013,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
FDA46,13.6,0.117818348,Snack Foods,192.9136,1999,2527.3768,train,0.9310779364692868,26,OUT049,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDC02,21.35,0.069102831,Canned,259.9278,2009,6768.5228,train,0.9334195377024119,16,OUT018,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
FDL50,12.15,0.042277867,Canned,126.5046,1987,373.5138,train,0.9980787902561442,38,OUT013,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
FDM39,6.42,0.089498926,Dairy,178.1002,1998,358.2004,train,1.4641166676603148,27,OUT010,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NCP05,19.6,0.018756953777777776,Health and Hygiene,153.3024,2002,2428.8384,train,0.75,23,OUT045,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
FDV49,10.0,0.025879577,Canned,265.2226,2002,5815.0972,train,0.9241603460120508,23,OUT045,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
FDL12,15.85,0.121632721,Baking Goods,60.622,1997,2576.646,train,0.8747287915078714,28,OUT046,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDS02,10.195000000000002,0.255394896,Dairy,196.8794,1985,780.3176,train,1.6616354111924645,40,OUT019,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
